match_id,map_number,mode,map_name,away_team,home_team,away_score,home_score,map_winner,game_time_sec,data_source
2026_M1Q1S7_RYD_LAT,1,HP,Scar,RYD,LAT,250,236,RYD,713,YT
2026_M1Q1S7_RYD_LAT,2,SND,Den,RYD,LAT,0,6,LAT,401,YT
2026_M1Q1S7_RYD_LAT,3,OVLD,Den,RYD,LAT,1,5,LAT,614,YT
2026_M1Q1S7_RYD_LAT,4,HP,Exposure,RYD,LAT,207,250,LAT,734,YT
2026_M1Q1S8_PAR_VGS,1,HP,Den,PAR,VGS,250,149,PAR,567,YT
2026_M1Q1S8_PAR_VGS,2,SND,Scar,PAR,VGS,3,6,VGS,635,YT
2026_M1Q1S8_PAR_VGS,3,OVLD,Exposure,PAR,VGS,1,6,VGS,621,YT
2026_M1Q1S8_PAR_VGS,4,HP,Exposure,PAR,VGS,250,130,PAR,535,YT
2026_M1Q1S9_TX_MIN,1,HP,Scar,TX,MIN,197,250,MIN,640,YT
2026_M1Q1S9_TX_MIN,2,SND,Raid,TX,MIN,6,4,TX,725,YT
2026_M1Q1S9_TX_MIN,3,OVLD,Den,TX,MIN,3,0,TX,627,YT
2026_M1Q1S9_TX_MIN,4,HP,Exposure,TX,MIN,250,113,TX,530,YT
2026_M1Q1S10_RYD_CAR,1,HP,Colossus,RYD,CAR,250,166,RYD,602,YT
2026_M1Q1S10_RYD_CAR,2,SND,Scar,RYD,CAR,6,2,RYD,NULL,BP
2026_M1Q1S10_RYD_CAR,3,OVLD,Exposure,RYD,CAR,4,2,RYD,NULL,BP
2026_M1Q1S11_MIN_BOS,1,HP,Colossus,MIN,BOS,250,247,MIN,757,YT
2026_M1Q1S11_MIN_BOS,2,SND,Raid,MIN,BOS,6,1,MIN,360,YT
2026_M1Q1S11_MIN_BOS,3,OVLD,Scar,MIN,BOS,2,4,BOS,600,YT
2026_M1Q1S11_MIN_BOS,4,HP,Colossus,MIN,BOS,250,247,MIN,NULL,YT
2026_M1Q1S11_MIN_BOS,5,SND,Den,MIN,BOS,3,6,BOS,NULL,BP
2026_M1Q1S12_RYD_CAR,1,HP,Colossus,RYD,CAR,250,166,RYD,602,YT
2026_M1Q1S12_RYD_CAR,2,SND,Scar,RYD,CAR,6,2,RYD,NULL,BP
2026_M1Q1S12_RYD_CAR,3,OVLD,Exposure,RYD,CAR,4,2,RYD,609,YT
2026_M1Q1S13_MIN_BOS,1,HP,Colossus,MIN,BOS,250,247,MIN,757,YT
2026_M1Q1S13_MIN_BOS,2,SND,Raid,MIN,BOS,6,1,MIN,360,YT
2026_M1Q1S13_MIN_BOS,3,OVLD,Scar,MIN,BOS,2,4,BOS,NULL,BP
2026_M1Q1S13_MIN_BOS,4,HP,Scar,MIN,BOS,250,145,BOS,580,YT
2026_M1Q1S13_MIN_BOS,5,SND,Den,MIN,BOS,3,6,BOS,700,YT
2026_M1Q1S14_VAN_TOR,1,HP,Colossus,VAN,TOR,111,250,TOR,528,YT
2026_M1Q1S14_VAN_TOR,2,SND,Den,VAN,TOR,5,6,TOR,748,YT
2026_M1Q1S14_VAN_TOR,3,OVLD,Den,VAN,TOR,1,4,TOR,600,YT
2026_M1Q1S15_PAR_LAT,1,HP,Den,PAR,LAT,250,116,PAR,540,YT
2026_M1Q1S15_PAR_LAT,2,SND,Exposure,PAR,LAT,6,3,PAR,457,YT
2026_M1Q1S15_PAR_LAT,3,OVLD,Den,PAR,LAT,8,1,PAR,591,YT
2026_M1Q1S16_TX_MIA,1,HP,Exposure,TX,MIA,188,250,MIA,632,YT
2026_M1Q1S16_TX_MIA,2,SND,Scar,TX,MIA,6,4,TX,625,YT
2026_M1Q1S16_TX_MIA,3,OVLD,Scar,TX,MIA,4,3,TX,614,YT
2026_M1Q1S16_TX_MIA,4,HP,Den,TX,MIA,249,250,MIA,658,YT
2026_M1Q1S16_TX_MIA,5,SND,Raid,TX,MIA,6,4,TX,602,YT
2026_M1Q1S17_VAN_NY,1,HP,Scar,VAN,NY,240,250,NY,775,YT
2026_M1Q1S17_VAN_NY,2,SND,Den,VAN,NY,4,6,NY,519,YT
2026_M1Q1S17_VAN_NY,3,OVLD,Scar,VAN,NY,2,3,NY,690,YT
2026_M1Q1S18_RYD_BOS,1,HP,Exposure,RYD,BOS,233,250,BOS,724,YT
2026_M1Q1S18_RYD_BOS,2,SND,Scar,RYD,BOS,6,1,RYD,441,YT
2026_M1Q1S18_RYD_BOS,3,OVLD,Exposure,RYD,BOS,4,3,RYD,638,YT
2026_M1Q1S18_RYD_BOS,4,HP,Colossus,RYD,BOS,250,233,RYD,725,YT
2026_M1Q1S19_MIA_NY,1,HP,Exposure,MIA,NY,250,154,MIA,621,YT
2026_M1Q1S19_MIA_NY,2,SND,Den,MIA,NY,3,6,NY,554,YT
2026_M1Q1S19_MIA_NY,3,OVLD,Den,MIA,NY,4,1,MIA,619,YT
2026_M1Q1S19_MIA_NY,4,HP,Scar,MIA,NY,165,250,NY,581,YT
2026_M1Q1S19_MIA_NY,5,SND,Scar,MIA,NY,6,3,MIA,655,YT
