match_id,map_number,mode,map_name,team,opponent,player_slot,player_name,map_winner,kills,deaths,assists,non_traded_kills,highest_streak,damage,hill_time_sec,avg_hill_time_sec,obj_kills,contested_hill_time_sec,kills_per_hill,dmg_per_hill,data_source,is_lan
2026_M1Q1S6_MIN_NY,1,HP,Colossus,MIN,NY,2,SKYZ,NY,20,29,11.0,12.0,3.0,3361,47,4,8.0,1,1.72,290.72,YT,0
2026_M1Q1S6_MIN_NY,1,HP,Colossus,MIN,NY,3,ESTREAL,NY,38,30,7.0,26.0,5.0,4293,70,6,13.0,8,3.18,372.36,YT,0
2026_M1Q1S6_MIN_NY,1,HP,Colossus,MIN,NY,4,KREMP,NY,35,33,13.0,23.0,4.0,4178,96,8,11.0,6,3.0,354.54,YT,0
2026_M1Q1S6_MIN_NY,1,HP,Colossus,NY,MIN,5,VIVID,NY,31,26,10.0,21.0,7.0,3920,84,7,15.0,3,2.81,342.45,YT,0
2026_M1Q1S6_MIN_NY,1,HP,Colossus,NY,MIN,6,MACK,NY,35,29,13.0,23.0,5.0,4251,69,5,11.0,12,2.9,363.0,YT,0
2026_M1Q1S6_MIN_NY,1,HP,Colossus,NY,MIN,7,AFRO,NY,31,32,16.0,20.0,3.0,4451,44,3,6.0,1,2.72,381.81,YT,0
2026_M1Q1S6_MIN_NY,1,HP,Colossus,NY,MIN,8,BEANS,NY,29,27,16.0,21.0,6.0,3935,107,8,13.0,5,2.36,339.0,YT,0
2026_M1Q1S6_MIN_NY,4,HP,Scar,MIN,NY,1,MAMBA,NY,29,34,14.0,20.0,3.0,3712,44,2,7.0,10,2.45,317.36,YT,0
2026_M1Q1S6_MIN_NY,4,HP,Scar,MIN,NY,2,SKYZ,NY,26,30,16.0,15.0,2.0,3909,20,1,5.0,7,2.09,323.09,YT,0
2026_M1Q1S6_MIN_NY,4,HP,Scar,MIN,NY,3,ESTREAL,NY,35,29,8.0,24.0,6.0,4234,55,5,9.0,7,3.0,359.09,YT,0
2026_M1Q1S6_MIN_NY,4,HP,Scar,MIN,NY,4,KREMP,NY,29,34,10.0,20.0,4.0,3219,132,9,14.0,10,2.36,258.18,YT,0
2026_M1Q1S6_MIN_NY,4,HP,Scar,NY,MIN,5,VIVID,NY,31,31,15.0,23.0,4.0,4782,20,1,5.0,0,2.54,398.72,YT,0
2026_M1Q1S6_MIN_NY,4,HP,Scar,NY,MIN,6,MACK,NY,26,31,5.0,17.0,4.0,3177,100,9,7.0,6,2.18,261.0,YT,0
2026_M1Q1S6_MIN_NY,4,HP,Scar,NY,MIN,7,AFRO,NY,43,27,6.0,33.0,5.0,4276,88,7,16.0,17,3.72,376.09,YT,0
2026_M1Q1S6_MIN_NY,4,HP,Scar,NY,MIN,8,BEANS,NY,27,30,11.0,17.0,5.0,3976,48,4,10.0,13,2.36,344.18,YT,0
2026_M1Q1S7_RYD_LAT,1,HP,Scar,RYD,LAT,1,CELLIUM,RYD,27,25,7.0,21.0,3.0,3154,115,9,8.0,18,2.18,259.27,YT,0
2026_M1Q1S7_RYD_LAT,1,HP,Scar,RYD,LAT,2,PRED,RYD,35,24,10.0,26.0,4.0,4291,61,5,6.0,7,3.18,386.81,YT,0
2026_M1Q1S7_RYD_LAT,1,HP,Scar,RYD,LAT,3,EXNID,RYD,39,30,6.0,28.0,6.0,3881,46,2,9.0,12,3.27,325.54,YT,0
2026_M1Q1S7_RYD_LAT,1,HP,Scar,RYD,LAT,4,KISMET,RYD,23,28,16.0,18.0,4.0,3968,53,3,5.0,8,1.72,324.27,YT,0
2026_M1Q1S7_RYD_LAT,1,HP,Scar,LAT,RYD,5,SCRAP,RYD,36,34,7.0,22.0,4.0,4939,10,0,7.0,13,3.18,430.36,YT,0
2026_M1Q1S7_RYD_LAT,1,HP,Scar,LAT,RYD,6,KENNY,RYD,28,26,8.0,23.0,7.0,3893,98,7,3.0,5,2.54,339.45,YT,0
2026_M1Q1S7_RYD_LAT,1,HP,Scar,LAT,RYD,7,ABEZY,RYD,24,30,5.0,16.0,4.0,3204,83,7,6.0,26,2.09,274.63,YT,0
2026_M1Q1S7_RYD_LAT,1,HP,Scar,LAT,RYD,8,HYDRA,RYD,19,34,7.0,10.0,4.0,2899,57,5,6.0,4,1.63,257.36,YT,0
2026_M1Q1S7_RYD_LAT,4,HP,Exposure,RYD,LAT,1,CELLIUM,LAT,30,25,6.0,22.0,6.0,3763,66,5,10.0,8,2.5,313.58,YT,0
2026_M1Q1S7_RYD_LAT,4,HP,Exposure,RYD,LAT,2,PRED,LAT,28,27,10.0,19.0,4.0,3967,39,3,3.0,0,2.33,330.58,YT,0
2026_M1Q1S7_RYD_LAT,4,HP,Exposure,RYD,LAT,3,EXNID,LAT,23,30,5.0,14.0,3.0,3318,77,6,6.0,16,1.91,270.0,YT,0
